"mensaVital:Gemüse-Couscous-Pfanne,Joghurt-Ingwer-Dip","1,6","3,6",5,22.09.2022,False
"Gemüseauflauf,Kräutersoße","2,4","4,4","5,8",22.09.2022,False
"Aktionstheke:Soja-MedaillonsmitBärlauchpesto,karamellisierteroteZwiebeln,Eichblatt-Rucolasalat","2,4","4,4","5,8",22.09.2022,True
"PutengyrosausAltengönna,Pommesfrites,Tsatsiki,1Krautsalatoder1FruchtquarkcremePflaume","4,5","6,5","7,9",22.09.2022,False
"mensaVital:Gemüse-Couscous-Pfanne,Joghurt-Ingwer-Dip","1,6","3,6",5,23.09.2022,False
"Vollkornspirelli,Lauch-Tomatensoße,1Kirsch-Soja-Creme","2,1","4,1","5,5",23.09.2022,True
"mensaVital:Kartoffel-KürbiskernröstimitTomaten-Schnittlauch-Quark,1Blattsalat","3,1","5,1","6,5",23.09.2022,False
"Fischstäbchen,Remouladensoße,Zitronenecke,WarmerKartoffelsalatmitSpeckoderButterkartoffeln","3,6","5,6",7,23.09.2022,False
Aktionstheke:FrischesWokgemüsemitvierMiniFrühlingsrollenanThai-Chili-SoßedazuBasmatireis,"4,5","6,5","7,9",23.09.2022,True
"Linseneintopf,1Brötchenoder1ScheibeBrot","1,6","3,6",5,26.09.2022,True
"HausgemachterPfannkuchen,Puderzucker,Sauerkirschgelee,1QuarkdessertSchokooder1Wachsbrechbohnensalat","2,1","4,1","5,5",26.09.2022,False
"ChickenTikkaMasala,Paprikagemüse,BratkartoffelnoderPetersilienkartoffeln","3,6","5,6",7,26.09.2022,False
Aktionstheke:RedLove-MexikoTofuBurger,"3,6","5,6",7,26.09.2022,False
"mensaVital:Linsen-Kartoffel-Kokos-Pfanne,dazueinenBlattsalatmitHimbeervinaigrette","2,1","4,1","5,5",27.09.2022,True
"NudelpfannemitKirschtomaten,RucolaundHirtenkäsewürfel,1NussNougat-Pudding","3,1","5,1","6,5",27.09.2022,False
Aktionstheke:Black-BurgermitFalafelmitErbsen-MinzDip,"3,6","5,6",7,27.09.2022,False
"XXLSchnitzelvomSchwein,Zitronenecke,Pommesfritesrot/weissmitKetchupausErfurt","4,5","6,5","7,9",27.09.2022,False
mensaVital:TagliatellemitLauch-Sojarahm-SoßeundgehacktenWalnüssen,"1,85","3,85","5,25",28.09.2022,True
"ReinpflanzlichePaprikaschote,Tomatensoße,PetersilienkartoffelnoderWildreis","2,7","4,7","6,1",28.09.2022,True
Aktionstheke:RedLove-MexikoTofuBurger,"3,6","5,6",7,28.09.2022,False
"SeelachsfiletinKnusperpanadeKräuterKäse,Senfsoße,Kräuterkartoffeln,1Fruchtquark-Erdbeere","4,9","6,9","8,3",28.09.2022,False
"Erbseneintopfreinpflanzlich,1BockwurstausErfurt,1Brötchenoder1ScheibeBrot","2,4","4,4","5,8",29.09.2022,False
mensaVital:Steckrüben-Kartoffel-Karotten-GratinmitRucolaquark,"2,4","4,4","5,8",29.09.2022,False
"Jagdwurstschnitzel,Tomatensoße,SpirelliausDermbach,1RoteGrützemitVanillesoßeoder1Gurkensalat","3,6","5,6",7,29.09.2022,False
Aktionstheke:Black-BurgermitFalafelmitErbsen-MinzDip,"3,6","5,6",7,29.09.2022,False
"Linseneintopf,1Brötchenoder1ScheibeBrot","1,6","3,6",5,30.09.2022,True
"mensaVital:SüßkartoffelcurrymitKichererbsenundBlattspinat,Duftreis","2,4","4,4","5,8",30.09.2022,True
"Tomaten-Schnittlauch-Omelett,Spinatsoße,StampfkartoffelnoderPetersilienkartoffeln,1Karottensalatoder1Apfel","3,1","5,1","6,5",30.09.2022,False
"HähncheninHartkäsekruste,Geflügelsoße,Fingermöhrengemüse,Petersilienkartoffeln","3,6","5,6",7,30.09.2022,False
Aktionstheke:RedLove-MexikoTofuBurger,"3,6","5,6",7,30.09.2022,False
"BunterGemüseeintopfmitFadennudeln,1ScheibeBrotoder1Brötchen","1,95","3,95","5,35",04.10.2022,True
"Linsen-Bobotie,SüdafrikanischerAuflauf,Brokkoligemüse,Duftreis","2,4","4,4","5,8",04.10.2022,True
"3Pastinaken-Steckrüben-Röstis,Kräuterquark,Krautvariation","3,1","5,1","6,5",04.10.2022,False
mensaVital:GriechischerGemüseauflaufmitHirtenkäse,"3,1","5,1","6,5",04.10.2022,False
"HähnchenbrustimKnuspermantel,Tomatensoße,Schneckli-NudelnoderPetersilienkartoffeln,1FruchtjoghurtMango","4,1","6,1","7,5",04.10.2022,False
Aktionstheke:RoteBeteSpaghettimitgeröstetenPinienkernenanRucola-Frischkäsesoße,"4,9","6,9","8,3",04.10.2022,False
"mensaVital:Kichererbsen-Tomaten-Eintopf,1ScheibeMehrkornbrot","1,95","3,85","5,25",05.10.2022,True
"GermknödelmitSchokofüllung,Sauerkirschsoße,SoßemitVanilleGeschmack","1,95","3,85","5,25",05.10.2022,False
"Brokkoli-NußeckeaufGemüse-Reis,Kräuter-Schmand-Dip","2,4","4,4","5,8",05.10.2022,False
mensaVital:SchweinegeschnetzeltesmitBrokkoliundMohnschupfnudelnoderPetersilienkartoffeln,"3,1","5,1","6,5",05.10.2022,False
"Aktionstheke:FrischesWokgemüse,ThaiChiliSoßeundDuftreis","3,6","5,6",7,05.10.2022,True
"ChickenCrossis,süß-saureSoße,Pommesfrites,1QuarkspeiseSchokooder1Chinakohlsalat","4,1","6,1","7,5",05.10.2022,False
mensaVital:GemüsepaellamitVollkornreisundWalnüssen,"1,95","3,85","5,25",06.10.2022,True
"Senfsoße,zweigekochteEier,Petersilienkartoffeln,1Mandarinenkompott","3,1","5,1","6,5",06.10.2022,False
"mensaVital:Kartoffel-Gemüse-Omelett,Sauerrahm,1Obstsalat","3,1","5,1","6,5",06.10.2022,False
"RindfleischstreifenStroganoff-Art,Spätzle,1Gurkensalat","4,1","6,1","7,5",06.10.2022,False
Aktionstheke:RoteBeteSpaghettimitgeröstetenPinienkernenanRucola-Frischkäsesoße,"4,9","6,9","8,3",06.10.2022,False
"Makkaroni,FrischkäsesoßemitLauchzwiebeln,1Grießspeise","1,95","3,85","5,25",07.10.2022,False
"mensaVital:SzegedinerTofugulaschmitKräuterkartoffeln,2Äpfel","2,7","4,7","6,1",07.10.2022,True
